toll_station_id,station_name,square_code,route_code,section_code,longitude,latitude,taz_id,entrance_exit,edge_id,junction_id
354,西昌收费站,G00055100700501010,G5,G0005008,102.198113,27.899142,G00055100700501010,entrance,-11298,-55508
354,西昌收费站,G00055100700501020,G5,G0005008,102.206599,27.898674,,entrance,,
354,西昌收费站,G00055100700502010,G5,G0005008,102.197191,27.898397,G00055100700502010,entrance,-2398,-31624
354,西昌收费站,G00055100700502020,G5,G0005008,102.191291,27.895416,,entrance,-2852,-32923
355,西昌南收费站,G00055100700601010,G5,G0005008,102.187075,27.747166,G00055100700601010,entrance,-17024,-68817
355,西昌南收费站,G00055100700602010,G5,G0005008,102.187227,27.747406,G00055100700602010,entrance,-17024,-68817
361,黄水收费站,G00055100800101010,G5,G0005009,102.19505,27.610334,G00055100800101010,entrance,-11260,-55422
361,黄水收费站,G00055100800102010,G5,G0005009,102.194966,27.610417,G00055100800102010,entrance,-11260,-55422
362,德昌收费站,G00055100800201010,G5,G0005009,102.197818,27.407966,G00055100800201010,entrance,-14852.57,J189
362,德昌收费站,G00055100800202010,G5,G0005009,102.19775,27.408093,G00055100800202010,entrance,-14852.57,J189
363,蒲坝收费站,G00055100800301010,G5,G0005009,102.303387,27.249745,G00055100800301010,entrance,-10216,-52657
363,蒲坝收费站,G00055100800302010,G5,G0005009,102.303038,27.250164,G00055100800302010,entrance,-7796,-28264
364,永郎收费站,G00055100800401010,G5,G0005009,102.262698,27.170416,,entrance,-4000000233,7373856650
364,永郎收费站,G00055100800402010,G5,G0005009,102.262993,27.170257,,entrance,-4000000235,7373856658
365,白马收费站,G00055100800501010,G5,G0005009,102.158607,27.008481,,entrance,-4000000168,9621003294
365,白马收费站,G00055100800502010,G5,G0005009,102.158613,27.008377,,entrance,-4000000168,9621003294
366,米易收费站,G00055100800601010,G5,G0005009,102.120494,26.911786,,entrance,-4000000018,2390028477
366,米易收费站,G00055100800602010,G5,G0005009,102.120173,26.911464,,entrance,-4000000019,2390028464
555,护国收费站,G00765100300101010,G76,G0076001,105.340073,28.569324,G00765100300101010,entrance,-2000000363,5744988211
555,护国收费站,G00765100300102010,G76,G0076001,105.340074,28.569228,G00765100300102010,entrance,-2000000363,5744988211
556,江门收费站,G00765100300201010,G76,G0076001,105.3337,28.431446,G00765100300201010,entrance,-2000000365,7594408852
556,江门收费站,G00765100300202010,G76,G0076001,105.33381,28.431542,G00765100300202010,entrance,-2000000365,7594408852
557,黄桷坪收费站,G00765100300301010,G76,G0076001,105.384828,28.340525,G00765100300301010,entrance,-2000000364,5744988539
557,黄桷坪收费站,G00765100300302010,G76,G0076001,105.384769,28.340618,G00765100300302010,entrance,-2000000276,7514747822
558,叙永收费站,G00765100300401010,G76,G0076001,105.455771,28.158795,G00765100300401010,entrance,-3000000092,7514619749
558,叙永收费站,G00765100300402010,G76,G0076001,105.455742,28.158902,G00765100300402010,entrance,-3000000092,7514619749
559,正东收费站,G00765100300501010,G76,G0076001,105.52125,28.092586,G00765100300501010,entrance,-3000000171,5951609752
559,正东收费站,G00765100300502010,G76,G0076001,105.52118,28.092455,G00765100300502010,entrance,-3000000171,5951609752
145,胡市收费站,G00765100200501010,G76,G0076002,105.369779,28.950283,,entrance,-2000000168,2087507417
145,胡市收费站,G00765100200502010,G76,G0076002,105.374058,28.946886,,entrance,-2000000140,3544530314
147,泸州况场收费站,G00765100200701010,G76,G0076002,105.356231,28.894241,,entrance,-2000000356,5729609168
147,泸州况场收费站,G00765100200702010,G76,G0076002,105.356112,28.893818,,entrance,-2000000356,5729609168
148,方山收费站,G00765100200801010,G76,G0076002,105.334359,28.812067,,entrance,-2000000348,5813973907
148,方山收费站,G00765100200802010,G76,G0076002,105.333798,28.812027,,entrance,-2000000235,5813973635
149,纳溪收费站,G00765100200901010,G76,G0076002,105.344259,28.758993,,entrance,-2000000347,1929482521
149,纳溪收费站,G00765100200902010,G76,G0076002,105.344296,28.758877,,entrance,-2000000347,1929482521
408,老龙收费站,S00045100400101010,S4,S0004001,104.408788,30.129854,,entrance,-9846,-51830
408,老龙收费站,S00045100400102010,S4,S0004001,104.408786,30.129719,,entrance,-9846,-51830
409,龙马收费站,S00045100400201010,S4,S0004001,104.381815,30.075699,,entrance,-1518,-28552
409,龙马收费站,S00045100400202010,S4,S0004001,104.381625,30.075758,,entrance,-1518,-28552
446,藕塘收费站,S00045100400301010,S4,S0004001,104.351632,29.891453,,entrance,-6408,-42757
446,藕塘收费站,S00045100400302010,S4,S0004001,104.351575,29.891259,,entrance,-6408,-42757
447,禄加收费站,S00045100400401010,S4,S0004001,104.339294,29.837475,,entrance,-6046,-41791
447,禄加收费站,S00045100400402010,S4,S0004001,104.339178,29.83754,,entrance,-6046,-41791
473,汪洋北收费站,S00045100400501010,S4,S0004001,104.28341,29.748819,,entrance,-3636,-35128
473,汪洋北收费站,S00045100400502010,S4,S0004001,104.283317,29.74892,,entrance,-3636,-35128
478,小河收费站,S00045100400601010,S4,S0004001,104.272745,29.654279,,entrance,-4266,-31466
478,小河收费站,S00045100400602010,S4,S0004001,104.272783,29.654119,,entrance,-4266,-31466
479,双古收费站,S00045100400701010,S4,S0004001,104.284373,29.5461,,entrance,-14856,-64117
479,双古收费站,S00045100400702010,S4,S0004001,104.28452,29.546165,,entrance,-14856,-64117
480,铁厂收费站,S00045100400801010,S4,S0004001,104.322584,29.491116,,entrance,-4594,-37649
480,铁厂收费站,S00045100400802010,S4,S0004001,104.32198,29.490839,,entrance,-8912,-37651
501,河口收费站,S00045100400901010,S4,S0004001,104.354112,29.308914,,entrance,-9246,-50426
501,河口收费站,S00045100400902010,S4,S0004001,104.354002,29.308833,,entrance,-9246,-50426
502,合什收费站,S00045100401001010,S4,S0004001,104.359634,29.216631,,entrance,-13542,-39955
502,合什收费站,S00045100401002010,S4,S0004001,104.359589,29.216707,,entrance,-13542,-39955
511,观音收费站,S00045100401101010,S4,S0004001,104.414869,29.103356,,entrance,-17170,-69104
511,观音收费站,S00045100401102010,S4,S0004001,104.414752,29.103461,,entrance,-17170,-69104
